Date,Open,High,Low,Close,Adj Close,Volume
1995-02-28,9.440000,9.440000,9.440000,9.440000,3.169539,0
1995-03-01,9.440000,9.440000,9.440000,9.440000,3.169539,0
1995-03-02,9.410000,9.410000,9.410000,9.410000,3.159468,0
1995-03-03,9.380000,9.380000,9.380000,9.380000,3.149396,0
1995-03-06,9.360000,9.360000,9.360000,9.360000,3.142678,0
1995-03-07,9.350000,9.350000,9.350000,9.350000,3.139323,0
1995-03-08,9.390000,9.390000,9.390000,9.390000,3.152755,0
1995-03-09,9.420000,9.420000,9.420000,9.420000,3.162826,0
1995-03-10,9.450000,9.450000,9.450000,9.450000,3.172899,0
1995-03-13,9.460000,9.460000,9.460000,9.460000,3.176255,0
1995-03-14,9.500000,9.500000,9.500000,9.500000,3.189685,0
1995-03-15,9.490000,9.490000,9.490000,9.490000,3.186327,0
1995-03-16,9.510000,9.510000,9.510000,9.510000,3.193043,0
1995-03-17,9.490000,9.490000,9.490000,9.490000,3.186327,0
1995-03-20,9.480000,9.480000,9.480000,9.480000,3.182968,0
1995-03-21,9.470000,9.470000,9.470000,9.470000,3.179612,0
1995-03-22,9.450000,9.450000,9.450000,9.450000,3.172899,0
1995-03-23,9.450000,9.450000,9.450000,9.450000,3.172899,0
1995-03-24,9.490000,9.490000,9.490000,9.490000,3.186327,0
1995-03-27,9.510000,9.510000,9.510000,9.510000,3.193043,0
1995-03-28,9.470000,9.470000,9.470000,9.470000,3.179612,0
1995-03-29,9.470000,9.470000,9.470000,9.470000,3.179612,0
1995-03-30,9.460000,9.460000,9.460000,9.460000,3.176255,0
1995-03-31,9.450000,9.450000,9.450000,9.450000,3.191114,0
1995-04-03,9.480000,9.480000,9.480000,9.480000,3.201242,0
1995-04-04,9.490000,9.490000,9.490000,9.490000,3.204620,0
1995-04-05,9.490000,9.490000,9.490000,9.490000,3.204620,0
1995-04-06,9.500000,9.500000,9.500000,9.500000,3.207997,0
1995-04-07,9.490000,9.490000,9.490000,9.490000,3.204620,0
1995-04-10,9.490000,9.490000,9.490000,9.490000,3.204620,0
1995-04-11,9.500000,9.500000,9.500000,9.500000,3.207997,0
1995-04-12,9.510000,9.510000,9.510000,9.510000,3.211374,0
1995-04-13,9.530000,9.530000,9.530000,9.530000,3.218127,0
1995-04-17,9.530000,9.530000,9.530000,9.530000,3.218127,0
1995-04-18,9.530000,9.530000,9.530000,9.530000,3.218127,0
1995-04-19,9.520000,9.520000,9.520000,9.520000,3.214753,0
1995-04-20,9.550000,9.550000,9.550000,9.550000,3.224882,0
1995-04-21,9.550000,9.550000,9.550000,9.550000,3.224882,0
1995-04-24,9.550000,9.550000,9.550000,9.550000,3.224882,0
1995-04-25,9.550000,9.550000,9.550000,9.550000,3.224882,0
1995-04-26,9.550000,9.550000,9.550000,9.550000,3.224882,0
1995-04-27,9.530000,9.530000,9.530000,9.530000,3.218127,0
1995-04-28,9.520000,9.520000,9.520000,9.520000,3.233072,0
1995-05-01,9.510000,9.510000,9.510000,9.510000,3.229674,0
1995-05-02,9.530000,9.530000,9.530000,9.530000,3.236466,0
1995-05-03,9.570000,9.570000,9.570000,9.570000,3.250051,0
1995-05-04,9.620000,9.620000,9.620000,9.620000,3.267031,0
1995-05-05,9.690000,9.690000,9.690000,9.690000,3.290803,0
1995-05-08,9.690000,9.690000,9.690000,9.690000,3.290803,0
1995-05-09,9.720000,9.720000,9.720000,9.720000,3.300993,0
1995-05-10,9.700000,9.700000,9.700000,9.700000,3.294199,0
1995-05-11,9.690000,9.690000,9.690000,9.690000,3.290803,0
1995-05-12,9.680000,9.680000,9.680000,9.680000,3.287409,0
1995-05-15,9.710000,9.710000,9.710000,9.710000,3.297596,0
1995-05-16,9.740000,9.740000,9.740000,9.740000,3.307785,0
1995-05-17,9.740000,9.740000,9.740000,9.740000,3.307785,0
1995-05-18,9.710000,9.710000,9.710000,9.710000,3.297596,0
1995-05-19,9.710000,9.710000,9.710000,9.710000,3.297596,0
1995-05-22,9.700000,9.700000,9.700000,9.700000,3.294199,0
1995-05-23,9.730000,9.730000,9.730000,9.730000,3.304389,0
1995-05-24,9.780000,9.780000,9.780000,9.780000,3.321370,0
1995-05-25,9.800000,9.800000,9.800000,9.800000,3.328162,0
1995-05-26,9.790000,9.790000,9.790000,9.790000,3.324766,0
1995-05-30,9.830000,9.830000,9.830000,9.830000,3.338353,0
1995-05-31,9.840000,9.840000,9.840000,9.840000,3.360892,0
1995-06-01,9.870000,9.870000,9.870000,9.870000,3.371140,0
1995-06-02,9.930000,9.930000,9.930000,9.930000,3.391632,0
1995-06-05,9.920000,9.920000,9.920000,9.920000,3.388217,0
1995-06-06,9.910000,9.910000,9.910000,9.910000,3.384802,0
1995-06-07,9.870000,9.870000,9.870000,9.870000,3.371140,0
1995-06-08,9.850000,9.850000,9.850000,9.850000,3.364306,0
1995-06-09,9.780000,9.780000,9.780000,9.780000,3.340399,0
1995-06-12,9.790000,9.790000,9.790000,9.790000,3.343815,0
1995-06-13,9.890000,9.890000,9.890000,9.890000,3.377966,0
1995-06-14,9.890000,9.890000,9.890000,9.890000,3.377966,0
1995-06-15,9.870000,9.870000,9.870000,9.870000,3.371140,0
1995-06-16,9.860000,9.860000,9.860000,9.860000,3.367723,0
1995-06-19,9.890000,9.890000,9.890000,9.890000,3.377966,0
1995-06-20,9.880000,9.880000,9.880000,9.880000,3.374552,0
1995-06-21,9.890000,9.890000,9.890000,9.890000,3.377966,0
1995-06-22,9.930000,9.930000,9.930000,9.930000,3.391632,0
1995-06-23,9.910000,9.910000,9.910000,9.910000,3.384802,0
1995-06-26,9.900000,9.900000,9.900000,9.900000,3.381384,0
1995-06-27,9.880000,9.880000,9.880000,9.880000,3.374552,0
1995-06-28,9.890000,9.890000,9.890000,9.890000,3.377966,0
1995-06-29,9.830000,9.830000,9.830000,9.830000,3.357477,0
1995-06-30,9.850000,9.850000,9.850000,9.850000,3.383235,0
1995-07-03,9.850000,9.850000,9.850000,9.850000,3.383235,0
1995-07-05,9.860000,9.860000,9.860000,9.860000,3.386670,0
1995-07-06,9.920000,9.920000,9.920000,9.920000,3.407282,0
1995-07-07,9.940000,9.940000,9.940000,9.940000,3.414146,0
1995-07-10,9.940000,9.940000,9.940000,9.940000,3.414146,0
1995-07-11,9.920000,9.920000,9.920000,9.920000,3.407282,0
1995-07-12,9.920000,9.920000,9.920000,9.920000,3.407282,0
1995-07-13,9.920000,9.920000,9.920000,9.920000,3.407282,0
1995-07-14,9.890000,9.890000,9.890000,9.890000,3.396972,0
1995-07-17,9.860000,9.860000,9.860000,9.860000,3.386670,0
1995-07-18,9.840000,9.840000,9.840000,9.840000,3.379804,0
1995-07-19,9.770000,9.770000,9.770000,9.770000,3.355758,0
1995-07-20,9.770000,9.770000,9.770000,9.770000,3.355758,0
1995-07-21,9.730000,9.730000,9.730000,9.730000,3.342019,0
1995-07-24,9.770000,9.770000,9.770000,9.770000,3.355758,0
1995-07-25,9.770000,9.770000,9.770000,9.770000,3.355758,0
1995-07-26,9.750000,9.750000,9.750000,9.750000,3.348886,0
1995-07-27,9.770000,9.770000,9.770000,9.770000,3.355758,0
1995-07-28,9.750000,9.750000,9.750000,9.750000,3.348886,0
1995-07-31,9.770000,9.770000,9.770000,9.770000,3.374796,0
1995-08-01,9.750000,9.750000,9.750000,9.750000,3.367885,0
1995-08-02,9.770000,9.770000,9.770000,9.770000,3.374796,0
1995-08-03,9.740000,9.740000,9.740000,9.740000,3.364431,0
1995-08-04,9.750000,9.750000,9.750000,9.750000,3.367885,0
1995-08-07,9.760000,9.760000,9.760000,9.760000,3.371342,0
1995-08-08,9.770000,9.770000,9.770000,9.770000,3.374796,0
1995-08-09,9.750000,9.750000,9.750000,9.750000,3.367885,0
1995-08-10,9.730000,9.730000,9.730000,9.730000,3.360978,0
1995-08-11,9.690000,9.690000,9.690000,9.690000,3.347160,0
1995-08-14,9.700000,9.700000,9.700000,9.700000,3.350616,0
1995-08-15,9.710000,9.710000,9.710000,9.710000,3.354068,0
1995-08-16,9.720000,9.720000,9.720000,9.720000,3.357525,0
1995-08-17,9.710000,9.710000,9.710000,9.710000,3.354068,0
1995-08-18,9.720000,9.720000,9.720000,9.720000,3.357525,0
1995-08-21,9.730000,9.730000,9.730000,9.730000,3.360978,0
1995-08-22,9.720000,9.720000,9.720000,9.720000,3.357525,0
1995-08-23,9.710000,9.710000,9.710000,9.710000,3.354068,0
1995-08-24,9.750000,9.750000,9.750000,9.750000,3.367885,0
1995-08-25,9.800000,9.800000,9.800000,9.800000,3.385160,0
1995-08-28,9.810000,9.810000,9.810000,9.810000,3.388613,0
1995-08-29,9.800000,9.800000,9.800000,9.800000,3.385160,0
1995-08-30,9.810000,9.810000,9.810000,9.810000,3.388613,0
1995-08-31,9.830000,9.830000,9.830000,9.830000,3.414665,0
1995-09-01,9.860000,9.860000,9.860000,9.860000,3.425088,0
1995-09-05,9.870000,9.870000,9.870000,9.870000,3.428560,0
1995-09-06,9.880000,9.880000,9.880000,9.880000,3.432033,0
1995-09-07,9.860000,9.860000,9.860000,9.860000,3.425088,0
1995-09-08,9.850000,9.850000,9.850000,9.850000,3.421616,0
1995-09-11,9.850000,9.850000,9.850000,9.850000,3.421616,0
1995-09-12,9.880000,9.880000,9.880000,9.880000,3.432033,0
1995-09-13,9.870000,9.870000,9.870000,9.870000,3.428560,0
1995-09-14,9.910000,9.910000,9.910000,9.910000,3.442458,0
1995-09-15,9.890000,9.890000,9.890000,9.890000,3.435510,0
1995-09-18,9.870000,9.870000,9.870000,9.870000,3.428560,0
1995-09-19,9.880000,9.880000,9.880000,9.880000,3.432033,0
1995-09-20,9.900000,9.900000,9.900000,9.900000,3.438982,0
1995-09-21,9.850000,9.850000,9.850000,9.850000,3.421616,0
1995-09-22,9.840000,9.840000,9.840000,9.840000,3.418143,0
1995-09-25,9.840000,9.840000,9.840000,9.840000,3.418143,0
1995-09-26,9.830000,9.830000,9.830000,9.830000,3.414665,0
1995-09-27,9.830000,9.830000,9.830000,9.830000,3.414665,0
1995-09-28,9.830000,9.830000,9.830000,9.830000,3.414665,0
1995-09-29,9.870000,9.870000,9.870000,9.870000,3.447147,0
1995-10-02,9.880000,9.880000,9.880000,9.880000,3.450639,0
1995-10-03,9.890000,9.890000,9.890000,9.890000,3.454132,0
1995-10-04,9.910000,9.910000,9.910000,9.910000,3.461117,0
1995-10-05,9.920000,9.920000,9.920000,9.920000,3.464608,0
1995-10-06,9.920000,9.920000,9.920000,9.920000,3.464608,0
1995-10-09,9.930000,9.930000,9.930000,9.930000,3.468104,0
1995-10-10,9.900000,9.900000,9.900000,9.900000,3.457624,0
1995-10-11,9.910000,9.910000,9.910000,9.910000,3.461117,0
1995-10-12,9.920000,9.920000,9.920000,9.920000,3.464608,0
1995-10-13,9.970000,9.970000,9.970000,9.970000,3.482074,0
1995-10-16,9.960000,9.960000,9.960000,9.960000,3.478577,0
1995-10-17,9.960000,9.960000,9.960000,9.960000,3.478577,0
1995-10-18,9.950000,9.950000,9.950000,9.950000,3.475089,0
1995-10-19,9.960000,9.960000,9.960000,9.960000,3.478577,0
1995-10-20,9.930000,9.930000,9.930000,9.930000,3.468104,0
